category,field,fit_id,id_status,notes
Cadence,Cadence,3,Verified on device,
Cadence,Avg Cadence,4,Verified on device,
Cadence,Lap Cadence,5,Verified on device,
Heart Rate,Heart Rate,13,Verified on device,
Heart Rate,Avg Heart Rate,14,Verified on device,
Heart Rate,Lap Heart Rate,15,Verified on device,
Heart Rate,Last Lap Heart Rate,165,Verified on device,
Heart Rate,%Max Heart Rate,16,Verified on device,
Heart Rate,Avg %Max Heart Rate,17,Verified on device,
Heart Rate,Lap %Max Heart Rate,18,Verified on device,
Heart Rate,%Heart Rate Reserve,19,Verified on device,
Heart Rate,Avg %HRR,20,Verified on device,
Heart Rate,Lap %HRR,,Not verified yet,
Heart Rate,Heart Rate Zone,22,Verified on device,
Heart Rate,Time in HR Zone 1,199,Verified on device,
Heart Rate,Time in HR Zone 2,200,Verified on device,
Heart Rate,Time in HR Zone 3,201,Verified on device,
Heart Rate,Time in HR Zone 4,202,Verified on device,
Heart Rate,Time in HR Zone 5,203,Verified on device,
Heart Rate,HR Zone Graph,23,Verified on device,
Heart Rate,Aerobic Training Effect,99,Verified on device,
Heart Rate,Anaerobic Training Effect,433,Verified on device,
Heart Rate,EPOC,478,Verified on device,
Heart Rate,Respiration Rate,452,Verified on device,
Power,Power,36,Not verified yet,
Power,Avg Power,37,Not verified yet,
Power,3s Power,79,Not verified yet,
Power,10s Power,146,Not verified yet,
Power,30s Power,80,Verified on device,
Power,Lap Power,39,Not verified yet,
Power,Last Lap Power,100,Verified on device,
Power,Max Power,40,Verified on device,
Power,Max Lap Power,41,Verified on device,
Power,Kilojoules,38,Verified on device,
Power,Watts/kg,98,Verified on device,
Power,Avg Watts/kg,437,Verified on device,
Power,3s Watts/kg,439,Verified on device,
Power,10s Watts/kg,440,Verified on device,
Power,30s Watts/kg,441,Verified on device,
Power,Lap Watts/kg,,Not verified yet,
Power,Power Zone,43,Not verified yet,
Power,Time in Power Zone 1,207,Not verified yet,
Power,Time in Power Zone 2,208,Not verified yet,
Power,Time in Power Zone 3,209,Not verified yet,
Power,Time in Power Zone 4,210,Not verified yet,
Power,Time in Power Zone 5,211,Not verified yet,
Power,Time in Power Zone 6,212,Not verified yet,
Power,Time in Power Zone 7,213,Not verified yet,
Power,Time in Power Zone 8,418,Not verified yet,
Power,Time in Power Zone 9,419,Not verified yet,
Power,Pedal Smoothness,176,Not verified yet,
Power,Torque Effectiveness,177,Not verified yet,
Power,Balance,149,Not verified yet,
Power,Avg Balance,150,Not verified yet,
Power,3s Balance,159,Not verified yet,
Power,10s Balance,160,Not verified yet,
Power,Lap Balance,151,Not verified yet,
Power,Intensity Factor,83,Not verified yet,
Power,TSS,82,Not verified yet,
Power,Normalized Power,81,Not verified yet,
Power,Lap NP,147,Not verified yet,
Power,Last Lap NP,148,Not verified yet,
Power,%FTP,42,Not verified yet,
Cycling Dynamics,Time Standing,257,Not verified yet,
Cycling Dynamics,Lap Time Standing,258,Not verified yet,
Cycling Dynamics,Time Seated,259,Not verified yet,
Cycling Dynamics,Lap Time Seated,260,Not verified yet,
Cycling Dynamics,Platform Center Offset (PCO),263,Not verified yet,
Cycling Dynamics,Avg PCO,264,Not verified yet,
Cycling Dynamics,Lap PCO,265,Not verified yet,
Cycling Dynamics,Right Power Phase,266,Not verified yet,
Cycling Dynamics,Avg Right Power Phase,267,Not verified yet,
Cycling Dynamics,Lap Right Power Phase,268,Not verified yet,
Cycling Dynamics,Right Peak Power Phase,269,Not verified yet,
Cycling Dynamics,Avg Right Peak Power Phase,270,Not verified yet,
Cycling Dynamics,Lap Right Peak Power Phase,271,Not verified yet,
Cycling Dynamics,Left Power Phase,272,Not verified yet,Completato per simmetria sulla base dell'indicazione 'ecc. per i left'
Cycling Dynamics,Avg Left Power Phase,273,Not verified yet,Completato per simmetria sulla base dell'indicazione 'ecc. per i left'
Cycling Dynamics,Lap Left Power Phase,274,Not verified yet,Completato per simmetria sulla base dell'indicazione 'ecc. per i left'
Cycling Dynamics,Left Peak Power Phase,275,Not verified yet,Completato per simmetria sulla base dell'indicazione 'ecc. per i left'
Cycling Dynamics,Avg Left Peak Power Phase,276,Not verified yet,Completato per simmetria sulla base dell'indicazione 'ecc. per i left'
Cycling Dynamics,Lap Left Peak Power Phase,277,Not verified yet,Completato per simmetria sulla base dell'indicazione 'ecc. per i left'
Gears,Gears,178,Verified on device,
Gears,Front Gear,179,Verified on device,
Gears,Rear Gear,180,Verified on device,
Gears,Gear Battery,181,Verified on device,
Gears,Gear Ratio,182,Verified on device,
Gears,Gear Combo,409,Verified on device,
Gears,Di2 Battery Level,408,Verified on device,
Gears,Di2 Shift Mode,411,Verified on device,
Lights,Battery Status,317,Verified on device,"On device shown as a single Light Battery icon, even with two batteries; Lights Connected reports 2."
Lights,Beam Angle Status,318,Verified on device,
Lights,Light Mode,319,Verified on device,
Lights,Lights Connected,316,Verified on device,On device reports 2 connected lights.
Workouts,Distance to Go,65,Verified on device,
Workouts,Time to Go,68,Verified on device,
Workouts,Reps to Go,67,Verified on device,
Workouts,Calories to Go,64,Verified on device,
Workouts,Heart Rate to Go,66,Verified on device,
Workouts,Workout Step,45,Verified on device,
Workouts,Workout Comparison,511,Verified on device,
Workouts,Duration,522,Verified on device,
Workouts,Step Time,523,Verified on device,
Workouts,Target,521,Verified on device,On device shows 0; the Target label is not visible.
Indoor Trainer,Trainer Mode Value,,Not verified yet,
eBike,Assist Mode,491,Not verified yet,
eBike,Shifting Advice,492,Not verified yet,
eBike,eBike Battery,493,Not verified yet,
eBike,Travel Range,494,Not verified yet,
